AuthorID,Author,Date,Content,Attachments,Reactions
"701024932217356365","Adhithya#1999","11-Jul-22 08:59 PM","","",""
"701024932217356365","Adhithya#1999","06-Aug-22 11:46 PM","```Resources```

**A website for learning control systems with matlab & simulink**

https://web.archive.org/web/20220622200152/https://ctms.engin.umich.edu/CTMS/index.php?aux=Home

```Outputs```

**Control systems lab exp 1 and 2**

https://drive.google.com/file/d/1ZOSB-qWb4D_yveAHlUjw4EJ3oowTlcO8/view?usp=sharing
_ _
**Control systems exp 3 output graphs** (P, PI,PID controllers)

https://drive.google.com/file/d/1GFBe44tnmgmKfsNYN0rCi57l72-t_6cA/view?usp=sharing
_ _
**AC servo motor** patch cord diagram with connections

https://drive.google.com/file/d/1VIJ2h8ZwqixzwVtJ4JZKsY5nPxLZy_Y9/view?usp=sharing
_ _","",""
