AuthorID,Author,Date,Content,Attachments,Reactions
"701024932217356365","Adhithya#1999","10-Jul-22 02:59 PM","","",""
"701024932217356365","Adhithya#1999","10-Jul-22 02:59 PM","**PN junction diode**
https://www.youtube.com/watch?v=JPmVtDbGa6E

**LED**
https://www.youtube.com/watch?v=9BDTtcRMxpA

**Introduction to amplifiers** 
https://www.youtube.com/watch?v=AGuHQMWwrVI

**How Colpitts Oscillators Work?**
https://www.youtube.com/watch?v=Em4a9pKRb2g

```Differential amplifier```

https://docs.google.com/presentation/d/10u2FEwMC4RLegw5opXC3jYH74wJS7IvpKIE3YndQKLU/edit?usp=sharing (PowerPoint slideshow)

https://www.youtube.com/watch?v=8IRzGRqcNaA

https://www.youtube.com/watch?v=s1_Siu3prRQ 

https://youtu.be/f_PDby9z8lE (by Rama reddy sir)","",""
