AuthorID,Author,Date,Content,Attachments,Reactions
"701024932217356365","Adhithya#1999","10-Jul-22 03:49 PM","","",""
"701024932217356365","Adhithya#1999","10-Jul-22 03:49 PM","```List of some popular practical EE channels```
**Beginner:** ElectroBOOM, Afrotechmods 

**Beginner-intermediate transition:** Great Scott 

**Intermediate:** EEVBIog, Andreas Spiess 

**Intermediate-advanced transition:** w2aew 

**Advanced:** Robert Feranec 

> Courtesy of Farhan


```Core channels```

**Virtual Brain**
https://www.youtube.com/c/VirtualBrainENG

> From Transformer to transistor, Everything brilliantly 3D animated and straight to the point.

**Learn engineering**
https://www.youtube.com/c/Lesics
> you would've seen at least one of the videos from this channel.

**The SI GUY**
https://www.youtube.com/c/TheSiGuyEN/videos
_ _

**Better explained**

https://www.youtube.com/user/betterexplained

> BetterExplained is dedicated to clear, intuitive tutorials for difficult math concepts. Let's sidestep the memorization get to the Aha! moment behind the idea.

**Building intuition**

https://www.youtube.com/c/BuildingIntuition/videos

**Wonderful practical channel**

https://www.youtube.com/c/PranabsLab","",""
