AuthorID,Author,Date,Content,Attachments,Reactions
"701024932217356365","Adhithya#1999","10-Jul-22 03:38 PM","","",""
"701024932217356365","Adhithya#1999","11-Jul-22 08:29 PM","**Rama Reddy sir's OHP notes**(All 5 units)
https://drive.google.com/drive/folders/1EhmlNNwld6JHKSLO2f5CuwC0xMaQXafZ?usp=sharing

```Machines 2```

Books folder
https://drive.google.com/drive/folders/1wYMDQiqEq5-gwO_gOwPizzQs4FWsK8cr

_To understand general concepts_

1. **S.K. Sahdev**
2. **V.K. Metha** (MY fav.)

```Book suggested for certain topics.```

**For Parallel operation of generator and behavior of generator when it is connected to infinite bus, read**

1. *Theodore Wildi* 
_ _
**For Salient pole machine theory read**,

1. *P.C. Sen* 
2. *Stephan J Chapman* (see appendix C PG 659)-
_ _
**For Transients in synchronous machine read**,

1. *Stephan J Chapman* (PG : 245)
_ _
**Induction Generator** 

*S.K. Sahdev* (Pdf page number 946 Book Page number 920)
_ _
**For speed control of induction motor read**

Nagarth Kothari page 725

It has wonderful explanation","",""
