AuthorID,Author,Date,Content,Attachments,Reactions
"701024932217356365","Adhithya#1999","10-Jul-22 03:52 PM","","",""
"701024932217356365","Adhithya#1999","24-Aug-22 10:30 PM","**Introduction to D. Signal processing**
https://www.youtube.com/watch?v=0ENnxVXEv_U&list=PLOzRYVm0a65cU4xstihnbnrCPHenmJJ7f
_ _
**A course on DSP by Prof.M Gadre IIT bombay** [Really well written .pdfs]

Location: ```My college Folder >> Discrete signal processing >> Others >> UsefulMaterials >> DSP IIT notes```

https://www.youtube.com/playlist?list=PLOzRYVm0a65cU4xstihnbnrCPHenmJJ7f
** **
** **
-------------------------------------
**Discrete Fourier transform**

https://betterexplained.com/articles/an-interactive-guide-to-the-fourier-transform/

https://www.youtube.com/watch?v=iN0VG9N2q0U","",""
"701024932217356365","Adhithya#1999","18-Sep-22 11:16 AM","**DFT** 🆕 🆕 
Must read at all cost

http://www.alwayslearn.com/DFT%20and%20FFT%20Tutorial/DFTandFFT_BasicIdea.html","",""
