AuthorID,Author,Date,Content,Attachments,Reactions
"701024932217356365","Adhithya#1999","10-Jul-22 10:47 PM","","",""
"701024932217356365","Adhithya#1999","11-Jul-22 08:41 PM","Really really important watch all of these videos

**How electricity actually works?** 

https://www.youtube.com/watch?v=oI_X2cMHNe0

https://www.youtube.com/watch?v=xN3VWHLtco0

**What is flash over?**
https://qr.ae/pvHAUn

**Transmission line science** (Quite possibly the best films ever produced transmission line science.)

https://www.youtube.com/watch?v=DovunOxlY1k

https://www.youtube.com/watch?v=I9m2w4DgeVk","",""
