AuthorID,Author,Date,Content,Attachments,Reactions
"701024932217356365","Adhithya#1999","10-Jul-22 03:51 PM","","",""
"701024932217356365","Adhithya#1999","08-Aug-22 07:48 PM","**NPTEL course** (To gain deeper knowledge)
https://nptel.ac.in/courses/108105153

**Mathematical Analysis of Kelvin's Double Bridge** 
https://www.youtube.com/watch?v=hP59aaUr8iY

> Courtesy of Anabhayan

**PMMC animation**
https://www.youtube.com/watch?v=gb7GcxkqSxM

**Moving Iron replusion type**
https://youtu.be/a5WHvasoSEM?t=17

**Moving Iron Attraction type
**https://www.youtube.com/watch?v=L9wHaLyv94Q","",""
