AuthorID,Author,Date,Content,Attachments,Reactions
"701024932217356365","Adhithya#1999","10-Jul-22 02:38 PM","","",""
"701024932217356365","Adhithya#1999","10-Jul-22 02:38 PM","```IC fabrication process```
https://drive.google.com/file/d/1WLZHztOHAtTbpDkPWXy8oj-gDy2kiyPH/view?usp=sharing
(PPT with of good images.)

Also watch mahesh patil B's Basic electronic course IC chapter


**Introduction Wafer Manufacturing Process**
https://www.youtube.com/watch?v=8uGZMyjFugg

**Introduction to Fabrication Process Technology and Op-amp**
https://www.youtube.com/watch?v=fkSkuR5hGCM
_ _

```Op-amp working```

**High level intro to Op-amp**
https://youtu.be/kbVqTMy8HMg

**Op-amp Working animation**
https://youtu.be/_o4ScgRZtNI

**Op-amp Characteristics and Datasheet Parameters**
https://www.youtube.com/watch?v=JJby1eWGjFs (Must watch) 

**Integrator**

https://eng.libretexts.org/Bookshelves/Electrical_Engineering/Electronics/Operational_Amplifiers_and_Linear_Integrated_Circuits_-_Theory_and_Application_(Fiore)/10%3A_Integrators_and_Differentiators/10.02%3A_Integrators
_ _

```Instrumentation amplifier``` (Text version)

https://www.allaboutcircuits.com/textbook/semiconductors/chpt-8/the-instrumentation-amplifier/

_ _

```555 timer```

**555 timer monostable and astable operation**
https://drive.google.com/file/d/10jwbkM7cAA1p8F-7uuGOsti4HZWzW8sR/view?usp=sharing

> (Suggested to download the video it to avoid buffering)

```Voltage regulators```

**IC 723**
https://www.youtube.com/watch?v=1IZxG7IHDe8","",""
